indicator,area_name,area_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
Chronic obstructive pulmonary disease (COPD) incidence,Dundee City,S12000042,Council area,2006,2005/06 to 2007/08 financial years; 3-year aggregates,196.67,188.53,161.95,218.09,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Dunbartonshire,S12000045,Council area,2006,2005/06 to 2007/08 financial years; 3-year aggregates,92.67,116.08,92.73,143.33,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Fife,S12000047,Council area,2006,2005/06 to 2007/08 financial years; 3-year aggregates,414.33,165.45,149,183.14,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Perth & Kinross,S12000048,Council area,2006,2005/06 to 2007/08 financial years; 3-year aggregates,150,134.94,113.6,159.05,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Glasgow City,S12000049,Council area,2006,2005/06 to 2007/08 financial years; 3-year aggregates,1016.67,280.13,262.31,298.81,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,North Lanarkshire,S12000050,Council area,2006,2005/06 to 2007/08 financial years; 3-year aggregates,428,213.33,191.95,236.31,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Scotland,S00000001,Scotland,2007,2006/07 to 2008/09 financial years; 3-year aggregates,6796.33,187.83,183.17,192.58,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Ayrshire & Arran,S08000015,Health board,2007,2006/07 to 2008/09 financial years; 3-year aggregates,614.67,217.97,200.28,236.76,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Borders,S08000016,Health board,2007,2006/07 to 2008/09 financial years; 3-year aggregates,151,159.58,134.27,188.14,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Dumfries & Galloway,S08000017,Health board,2007,2006/07 to 2008/09 financial years; 3-year aggregates,205,159.77,137.63,184.33,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Forth Valley,S08000019,Health board,2007,2006/07 to 2008/09 financial years; 3-year aggregates,375.33,193.39,173.31,215.07,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Grampian,S08000020,Health board,2007,2006/07 to 2008/09 financial years; 3-year aggregates,534.67,145.84,133.14,159.37,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Highland,S08000022,Health board,2007,2006/07 to 2008/09 financial years; 3-year aggregates,343.67,143.97,128.33,160.92,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lothian,S08000024,Health board,2007,2006/07 to 2008/09 financial years; 3-year aggregates,884.33,173.47,161.63,185.91,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Orkney,S08000025,Health board,2007,2006/07 to 2008/09 financial years; 3-year aggregates,22.33,132.65,82.27,201.81,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Shetland,S08000026,Health board,2007,2006/07 to 2008/09 financial years; 3-year aggregates,15.67,108.65,58.66,181.7,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Western Isles,S08000028,Health board,2007,2006/07 to 2008/09 financial years; 3-year aggregates,33.67,159.17,106.65,227.12,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Fife,S08000029,Health board,2007,2006/07 to 2008/09 financial years; 3-year aggregates,445,174.57,157.83,192.52,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Tayside,S08000030,Health board,2007,2006/07 to 2008/09 financial years; 3-year aggregates,496.67,160.75,146.38,176.11,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Greater Glasgow & Clyde,S08000031,Health board,2007,2006/07 to 2008/09 financial years; 3-year aggregates,1794.67,237.34,225.91,249.17,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lanarkshire,S08000032,Health board,2007,2006/07 to 2008/09 financial years; 3-year aggregates,879.67,208.4,193.97,223.58,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Clackmannanshire,S12000005,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,65,205.45,155.67,265.34,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dumfries & Galloway,S12000006,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,205,159.77,137.63,184.33,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Ayrshire,S12000008,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,218.33,258.01,223.1,296.6,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Lothian,S12000010,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,103.67,146.41,118.53,178.68,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Renfrewshire,S12000011,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,86.33,133.23,104.2,167.31,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Na h-Eileanan Siar,S12000013,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,33.67,159.17,106.65,227.12,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Falkirk,S12000014,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,210.33,211.02,181.65,243.57,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Highland,S12000017,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,226.67,140.31,121.49,161.07,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Inverclyde,S12000018,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,138,226.41,188.39,269.56,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Midlothian,S12000019,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,114.67,212.81,172.48,259.16,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Moray,S12000020,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,111.33,163.67,133.98,197.87,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,North Ayrshire,S12000021,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,220,217.83,188.23,250.54,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Orkney Islands,S12000023,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,22.33,132.65,82.27,201.81,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Scottish Borders,S12000026,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,151,159.58,134.27,188.14,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Shetland Islands,S12000027,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,15.67,108.65,58.66,181.7,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,South Ayrshire,S12000028,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,176.33,183.68,156.76,213.78,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,South Lanarkshire,S12000029,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,416.67,193.55,174.35,214.21,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Stirling,S12000030,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,100,158.87,128.21,194.44,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Aberdeen City,S12000033,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,232.33,170.63,148.04,195.54,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Aberdeenshire,S12000034,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,191,118.1,101.21,136.91,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Argyll & Bute,S12000035,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,117,152.73,125.23,184.28,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,City of Edinburgh,S12000036,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,459.67,158.11,143.35,173.93,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Renfrewshire,S12000038,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,241,206.31,179.52,235.79,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,West Dunbartonshire,S12000039,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,145.67,225.22,188.61,266.64,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,West Lothian,S12000040,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,206.33,221.76,188.71,258.41,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Angus,S12000041,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,138.67,159.05,132.3,189.4,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dundee City,S12000042,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,204,193.6,166.92,223.21,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Dunbartonshire,S12000045,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,100.33,123.12,99.36,150.68,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Fife,S12000047,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,445,174.57,157.83,192.52,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Perth & Kinross,S12000048,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,154,133.31,112.49,156.79,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Glasgow City,S12000049,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,1083.33,299.07,280.59,318.41,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,North Lanarkshire,S12000050,Council area,2007,2006/07 to 2008/09 financial years; 3-year aggregates,463,223.85,202.41,246.81,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Scotland,S00000001,Scotland,2008,2007/08 to 2009/10 financial years; 3-year aggregates,6675,181.56,177,186.2,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Ayrshire & Arran,S08000015,Health board,2008,2007/08 to 2009/10 financial years; 3-year aggregates,627.67,218.91,201.28,237.61,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Borders,S08000016,Health board,2008,2007/08 to 2009/10 financial years; 3-year aggregates,137.33,144.59,120.27,172.21,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Dumfries & Galloway,S08000017,Health board,2008,2007/08 to 2009/10 financial years; 3-year aggregates,209.67,159.32,137.68,183.3,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Forth Valley,S08000019,Health board,2008,2007/08 to 2009/10 financial years; 3-year aggregates,350,177.4,158.31,198.05,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Grampian,S08000020,Health board,2008,2007/08 to 2009/10 financial years; 3-year aggregates,529.67,142.26,129.76,155.58,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Highland,S08000022,Health board,2008,2007/08 to 2009/10 financial years; 3-year aggregates,328.33,134.8,119.72,151.16,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lothian,S08000024,Health board,2008,2007/08 to 2009/10 financial years; 3-year aggregates,841.67,162.58,151.21,174.55,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Orkney,S08000025,Health board,2008,2007/08 to 2009/10 financial years; 3-year aggregates,18.33,108.4,63.57,172.03,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Shetland,S08000026,Health board,2008,2007/08 to 2009/10 financial years; 3-year aggregates,17,120.16,67.54,195.87,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Western Isles,S08000028,Health board,2008,2007/08 to 2009/10 financial years; 3-year aggregates,27.67,122.38,79.11,179.88,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Fife,S08000029,Health board,2008,2007/08 to 2009/10 financial years; 3-year aggregates,452.33,174.82,158.24,192.59,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Tayside,S08000030,Health board,2008,2007/08 to 2009/10 financial years; 3-year aggregates,482.67,152.76,138.87,167.61,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Greater Glasgow & Clyde,S08000031,Health board,2008,2007/08 to 2009/10 financial years; 3-year aggregates,1780.67,233.1,221.81,244.79,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lanarkshire,S08000032,Health board,2008,2007/08 to 2009/10 financial years; 3-year aggregates,872,202.7,188.56,217.56,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Clackmannanshire,S12000005,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,63.33,193.46,145.07,251.81,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dumfries & Galloway,S12000006,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,209.67,159.32,137.68,183.3,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Ayrshire,S12000008,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,224.67,259.05,224.71,296.97,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Lothian,S12000010,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,109.33,156.31,126.79,190.34,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Renfrewshire,S12000011,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,79.67,119.91,92.78,151.95,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Na h-Eileanan Siar,S12000013,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,27.67,122.38,79.11,179.88,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Falkirk,S12000014,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,194,190.62,163.22,221.1,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Highland,S12000017,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,222,134.38,115.97,154.71,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Inverclyde,S12000018,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,136.33,223.1,185.06,266.31,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Midlothian,S12000019,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,102.33,182.89,146.89,224.6,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Moray,S12000020,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,101.33,148.44,119.94,181.49,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,North Ayrshire,S12000021,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,225.33,221.49,191.24,254.89,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Orkney Islands,S12000023,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,18.33,108.4,63.57,172.03,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Scottish Borders,S12000026,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,137.33,144.59,120.27,172.21,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Shetland Islands,S12000027,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,17,120.16,67.54,195.87,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,South Ayrshire,S12000028,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,177.67,181.46,155.06,210.97,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,South Lanarkshire,S12000029,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,417.33,188.8,170.14,208.86,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Stirling,S12000030,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,92.67,147.3,117.69,181.85,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Aberdeen City,S12000033,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,237.67,171.95,149.42,196.75,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Aberdeenshire,S12000034,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,190.67,115.35,98.73,133.85,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Argyll & Bute,S12000035,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,106.33,136.51,110.82,166.19,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,City of Edinburgh,S12000036,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,437.33,149.17,134.85,164.55,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Renfrewshire,S12000038,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,241.67,201.47,175.45,230.1,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,West Dunbartonshire,S12000039,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,139.33,212.91,177.55,253.02,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,West Lothian,S12000040,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,192.67,195.25,166.27,227.51,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Angus,S12000041,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,130.33,144.62,119.66,173.04,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dundee City,S12000042,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,210,199.44,172.17,229.66,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Dunbartonshire,S12000045,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,95.33,115.61,92.44,142.6,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Fife,S12000047,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,452.33,174.82,158.24,192.59,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Perth & Kinross,S12000048,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,142.33,119.01,99.63,140.95,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Glasgow City,S12000049,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,1088.33,299.9,281.35,319.29,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,North Lanarkshire,S12000050,Council area,2008,2007/08 to 2009/10 financial years; 3-year aggregates,454.67,217.43,196.24,240.15,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Scotland,S00000001,Scotland,2009,2008/09 to 2010/11 financial years; 3-year aggregates,6766.67,179.89,175.43,184.43,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Ayrshire & Arran,S08000015,Health board,2009,2008/09 to 2010/11 financial years; 3-year aggregates,646,220.1,202.69,238.56,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Borders,S08000016,Health board,2009,2008/09 to 2010/11 financial years; 3-year aggregates,139.33,145.93,121.44,173.69,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Dumfries & Galloway,S08000017,Health board,2009,2008/09 to 2010/11 financial years; 3-year aggregates,203.33,148.96,128.64,171.51,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Forth Valley,S08000019,Health board,2009,2008/09 to 2010/11 financial years; 3-year aggregates,355.67,175.95,157.2,196.23,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Grampian,S08000020,Health board,2009,2008/09 to 2010/11 financial years; 3-year aggregates,551.33,144.49,132.16,157.63,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Highland,S08000022,Health board,2009,2008/09 to 2010/11 financial years; 3-year aggregates,338.67,134.81,120.08,150.78,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lothian,S08000024,Health board,2009,2008/09 to 2010/11 financial years; 3-year aggregates,826,155.15,144.26,166.61,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Orkney,S08000025,Health board,2009,2008/09 to 2010/11 financial years; 3-year aggregates,15,87.82,48.55,145.71,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Shetland,S08000026,Health board,2009,2008/09 to 2010/11 financial years; 3-year aggregates,13,84.54,44.14,145.84,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Western Isles,S08000028,Health board,2009,2008/09 to 2010/11 financial years; 3-year aggregates,24.67,105.44,66.06,158.68,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Fife,S08000029,Health board,2009,2008/09 to 2010/11 financial years; 3-year aggregates,452.67,168.87,153.05,185.83,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Tayside,S08000030,Health board,2009,2008/09 to 2010/11 financial years; 3-year aggregates,495.33,152.86,139.19,167.48,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Greater Glasgow & Clyde,S08000031,Health board,2009,2008/09 to 2010/11 financial years; 3-year aggregates,1803.67,233.42,222.22,245.02,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lanarkshire,S08000032,Health board,2009,2008/09 to 2010/11 financial years; 3-year aggregates,902,205.22,191.21,219.93,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Clackmannanshire,S12000005,Council area,2009,2008/09 to 2010/11 financial years; 3-year aggregates,62,187.21,139.03,245.43,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dumfries & Galloway,S12000006,Council area,2009,2008/09 to 2010/11 financial years; 3-year aggregates,203.33,148.96,128.64,171.51,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Ayrshire,S12000008,Council area,2009,2008/09 to 2010/11 financial years; 3-year aggregates,231.67,261.65,227.25,299.57,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Lothian,S12000010,Council area,2009,2008/09 to 2010/11 financial years; 3-year aggregates,109,151.86,123.27,184.84,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
